29,2	-1,3875	634	NAN
29,3	-1,383	630	NAN
29,4	-1,3515	622,5	NAN
29,5	-1,3005	609	NAN
29,6	-1,2975	603,5	NAN
29,7	-1,3005	601,5	NAN
29,8	-1,2945	600	NAN
29,9	-1,287	598,5	NAN
30	-1,2555	592,5	NAN
30,1	-1,2075	578,5	NAN
30,2	-1,1535	562,5	NAN
30,3	-1,1325	553	NAN
30,4	-1,083	539	NAN
30,5	-1,05	526,5	NAN
30,6	-1,0035	512	NAN
30,7	-0,9465	494	NAN
30,8	-0,954	488,5	NAN
30,9	-0,918	479,5	NAN
31	-0,837	452,5	NAN
31,1	-0,8295	444,5	NAN
31,2	-0,828	441	NAN
31,3	-0,8175	438	NAN
31,4	-0,7785	427	NAN
31,5	-0,777	423	NAN
31,6	-0,768	419,5	NAN
31,7	-0,7365	410	NAN
31,8	-0,717	403	NAN
31,9	-0,7065	396	NAN
32	-0,6825	389,5	NAN
32,1	-0,615	367,5	NAN
32,2	-0,5865	351,5	NAN
32,3	-0,564	341	NAN
32,4	-0,5235	326	NAN
32,5	-0,4695	302	NAN
32,6	-0,441	287	NAN
32,7	-0,4155	274	NAN
32,8	-0,402	267	NAN
32,9	-0,372	255	NAN
33	-0,3585	246,5	NAN
33,1	-0,342	239	NAN
33,2	-0,3165	228	NAN
33,3	-0,3	219	NAN
33,4	-0,2745	208	NAN
33,5	-0,222	186,5	NAN
33,6	-0,183	166	NAN
33,7	-0,165	155	NAN
33,8	-0,1545	147	NAN
33,9	-0,1305	138,5	NAN
34	-0,0975	122	NAN
34,1	-0,0795	112	NAN
34,2	-0,0315	92	NAN
34,3	0	74	NAN
34,4	-0,0015	68,5	NAN
34,5	0	66,5	NAN
34,6	-0,0015	65,5	NAN
34,7	-0,0015	64,5	NAN
34,8	0	64	NAN
34,9	0	63,5	NAN
35	0	63	NAN
35,1	0	63	NAN
35,2	0	63	NAN
35,3	0,0015	63	NAN
35,4	-0,0015	63	NAN
35,5	0	63	NAN
35,6	0	63	NAN
35,7	0	62,5	NAN
35,8	0	62,5	NAN
35,9	0,0015	62,5	NAN
36	0,0015	62,5	NAN
36,1	0	62,5	NAN
36,2	0	62,5	NAN
36,3	-0,0015	62,5	NAN
36,4	0,0015	63	NAN
36,5	-0,0015	63	NAN
36,6	0	62,5	NAN
36,7	0,0015	62,5	NAN
36,8	-0,0015	62,5	NAN
36,9	0	62,5	NAN
37	0	62,5	NAN
37,1	0,0015	62,5	NAN
37,2	0	63	NAN
37,3	0	63	NAN
37,4	0	62,5	NAN
37,5	0	62,5	NAN
37,6	-0,0015	62,5	NAN
37,7	0	62,5	NAN
37,8	0	62,5	NAN
37,9	0	62,5	NAN
38	0	62,5	NAN
38,1	0	63	NAN
38,2	0	62,5	NAN
38,3	0,003	62,5	NAN
38,4	-0,0015	62,5	NAN
38,5	-0,0015	62,5	NAN
38,6	0	62,5	NAN
38,7	0	62,5	NAN
38,8	0,0015	62,5	NAN
38,9	0,0015	62,5	NAN
39	0	62,5	NAN
39,1	0	62,5	NAN
